"V1","V2","V3","V4","Class","space"
2,50,12500,98,2,0
0,13,3250,28,2,0
1,16,4000,35,2,0
2,20,5000,45,2,0
1,24,6000,77,1,0
4,4,1000,4,1,0
2,7,1750,14,2,0
1,12,3000,35,1,0
2,9,2250,22,2,0
5,46,11500,98,2,0
4,23,5750,58,1,0
0,3,750,4,1,0
2,10,2500,28,2,0
1,13,3250,47,1,0
2,6,1500,15,2,0
2,5,1250,11,2,0
2,14,3500,48,2,0
2,15,3750,49,2,0
2,6,1500,15,2,0
2,3,750,4,2,0
2,3,750,4,2,0
4,11,2750,28,1,0
2,6,1500,16,2,0
2,6,1500,16,2,0
9,9,2250,16,1,0
4,14,3500,40,1,0
4,6,1500,14,1,0
4,12,3000,34,2,0
4,5,1250,11,2,0
4,8,2000,21,1,0
1,14,3500,58,1,0
4,10,2500,28,2,0
4,10,2500,28,2,0
4,9,2250,26,2,0
2,16,4000,64,1,0
2,8,2000,28,2,0
2,12,3000,47,2,0
4,6,1500,16,2,0
2,14,3500,57,2,0
4,7,1750,22,2,0
2,13,3250,53,2,0
2,5,1250,16,1,0
2,5,1250,16,2,0
2,5,1250,16,1,0
4,20,5000,69,2,0
4,9,2250,28,2,0
2,9,2250,36,1,0
2,2,500,2,1,0
2,2,500,2,1,0
2,2,500,2,1,0
2,11,2750,46,1,0
2,11,2750,46,2,0
2,6,1500,22,1,0
2,12,3000,52,1,0
4,5,1250,14,2,0
4,19,4750,69,2,0
4,8,2000,26,2,0
2,7,1750,28,2,0
2,16,4000,81,1,0
3,6,1500,21,1,0
2,7,1750,29,1,0
2,8,2000,35,2,0
2,10,2500,49,1,0
4,5,1250,16,2,0
2,3,750,9,2,0
3,16,4000,74,1,0
2,4,1000,14,2,0
0,2,500,4,1,0
4,7,1750,25,1,0
1,9,2250,51,1,0
2,4,1000,16,1,0
2,4,1000,16,1,0
4,17,4250,71,2,0
2,2,500,4,1,0
2,2,500,4,2,0
2,2,500,4,2,0
2,4,1000,16,2,0
2,2,500,4,1,0
2,2,500,4,1,0
2,2,500,4,1,0
4,6,1500,23,2,0
2,4,1000,16,1,0
2,4,1000,16,1,0
2,4,1000,16,1,0
2,6,1500,28,2,0
2,6,1500,28,1,0
4,2,500,4,1,0
4,2,500,4,1,0
4,2,500,4,1,0
2,7,1750,35,2,0
4,2,500,4,2,0
4,2,500,4,1,0
4,2,500,4,1,0
4,2,500,4,1,0
12,11,2750,23,1,0
4,7,1750,28,1,0
3,17,4250,86,1,0
4,9,2250,38,2,0
4,4,1000,14,2,0
5,7,1750,26,2,0
4,8,2000,34,2,0
2,13,3250,76,2,0
4,9,2250,40,1,0
2,5,1250,26,1,0
2,5,1250,26,1,0
6,17,4250,70,1,0
0,8,2000,59,1,0
3,5,1250,26,1,0
2,3,750,14,1,0
2,10,2500,64,1,0
4,5,1250,23,2,0
4,9,2250,46,1,0
4,5,1250,23,1,0
4,8,2000,40,2,0
2,12,3000,82,1,0
11,24,6000,64,1,0
2,7,1750,46,2,0
4,11,2750,61,1,0
1,7,1750,57,1,0
2,11,2750,79,2,0
2,3,750,16,2,0
4,5,1250,26,2,0
2,6,1500,41,2,0
2,5,1250,33,2,0
2,4,1000,26,1,0
2,5,1250,34,1,0
4,8,2000,46,2,0
2,4,1000,26,1,0
4,8,2000,48,2,0
2,2,500,10,2,0
4,5,1250,28,1,0
2,12,3000,95,1,0
2,2,500,10,1,0
4,6,1500,35,1,0
2,11,2750,88,1,0
2,3,750,19,1,0
2,5,1250,37,1,0
2,12,3000,98,1,0
9,5,1250,19,1,0
2,2,500,11,1,0
2,9,2250,74,1,0
5,14,3500,86,1,0
4,3,750,16,1,0
4,3,750,16,1,0
4,2,500,9,2,0
4,3,750,16,2,0
6,3,750,14,1,0
2,2,500,11,1,0
2,2,500,11,2,0
2,2,500,11,1,0
2,7,1750,58,2,0
4,6,1500,39,1,0
4,11,2750,78,1,0
2,1,250,2,2,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
11,10,2500,35,1,0
11,4,1000,16,2,0
4,5,1250,33,2,0
4,6,1500,41,2,0
2,3,750,22,1,0
4,4,1000,26,2,0
10,4,1000,16,1,0
2,4,1000,35,1,0
4,12,3000,88,1,0
13,8,2000,26,1,0
11,9,2250,33,1,0
4,5,1250,34,1,0
4,4,1000,26,1,0
8,15,3750,77,1,0
4,5,1250,35,2,0
4,7,1750,52,1,0
4,7,1750,52,1,0
2,4,1000,35,1,0
11,11,2750,42,1,0
2,2,500,14,1,0
2,5,1250,47,2,0
9,8,2000,38,2,0
4,6,1500,47,1,0
11,7,1750,29,1,0
9,9,2250,45,1,0
4,6,1500,52,1,0
4,7,1750,58,1,0
6,2,500,11,2,0
4,7,1750,58,1,0
11,9,2250,38,1,0
11,6,1500,26,1,0
2,2,500,16,1,0
2,7,1750,76,1,0
11,6,1500,27,1,0
11,3,750,14,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,2,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,2,0
4,1,250,4,2,0
4,1,250,4,1,0
4,1,250,4,2,0
4,1,250,4,2,0
4,1,250,4,1,0
4,3,750,24,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,2,0
4,1,250,4,1,0
10,8,2000,39,1,0
14,7,1750,26,1,0
8,10,2500,63,1,0
11,3,750,15,1,0
4,2,500,14,1,0
2,4,1000,43,1,0
8,9,2250,58,1,0
8,8,2000,52,2,0
11,22,5500,98,1,0
4,3,750,25,2,0
11,17,4250,79,2,0
9,2,500,11,1,0
4,5,1250,46,1,0
11,12,3000,58,1,0
7,12,3000,86,1,0
11,2,500,11,1,0
11,2,500,11,1,0
11,2,500,11,1,0
2,6,1500,75,1,0
11,8,2000,41,2,0
11,3,750,16,2,0
12,13,3250,59,1,0
2,3,750,35,1,0
16,8,2000,28,1,0
11,7,1750,37,1,0
4,3,750,28,1,0
12,12,3000,58,1,0
4,4,1000,41,1,0
11,14,3500,73,2,0
2,2,500,23,1,0
2,3,750,38,2,0
4,5,1250,58,1,0
4,4,1000,43,2,0
3,2,500,23,1,0
11,8,2000,46,1,0
4,7,1750,82,1,0
13,4,1000,21,1,0
16,11,2750,40,1,0
16,7,1750,28,1,0
7,2,500,16,1,0
4,5,1250,58,1,0
4,5,1250,58,1,0
4,4,1000,46,1,0
14,13,3250,57,1,0
4,3,750,34,1,0
14,18,4500,78,1,0
11,8,2000,48,1,0
14,16,4000,70,1,0
14,4,1000,22,2,0
14,5,1250,26,1,0
8,2,500,16,1,0
11,5,1250,33,1,0
11,2,500,14,1,0
4,2,500,23,1,0
9,2,500,16,2,0
14,5,1250,28,2,0
14,3,750,19,2,0
14,4,1000,23,2,0
16,12,3000,50,1,0
11,4,1000,28,1,0
11,5,1250,35,1,0
11,5,1250,35,1,0
2,4,1000,70,1,0
14,5,1250,28,1,0
14,2,500,14,1,0
14,2,500,14,1,0
14,2,500,14,1,0
14,2,500,14,1,0
14,2,500,14,1,0
14,2,500,14,1,0
2,3,750,52,1,0
14,6,1500,34,1,0
11,5,1250,37,2,0
4,5,1250,74,1,0
11,3,750,23,1,0
16,4,1000,23,1,0
16,3,750,19,1,0
11,5,1250,38,1,0
11,2,500,16,1,0
12,9,2250,60,1,0
9,1,250,9,1,0
9,1,250,9,1,0
4,2,500,29,1,0
11,2,500,17,1,0
14,4,1000,26,1,0
11,9,2250,72,2,0
11,5,1250,41,1,0
15,16,4000,82,1,0
9,5,1250,51,2,0
11,4,1000,34,1,0
14,8,2000,50,2,0
16,7,1750,38,1,0
14,2,500,16,1,0
2,2,500,41,1,0
14,16,4000,98,1,0
14,4,1000,28,2,0
16,7,1750,39,1,0
14,7,1750,47,1,0
16,6,1500,35,1,0
16,6,1500,35,2,0
11,7,1750,62,2,0
16,2,500,16,1,0
16,3,750,21,2,0
11,3,750,28,1,0
11,7,1750,64,1,0
11,1,250,11,2,0
9,3,750,34,1,0
14,4,1000,30,1,0
23,38,9500,98,1,0
11,6,1500,58,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,2,500,21,1,0
11,5,1250,50,1,0
11,2,500,21,1,0
16,4,1000,28,1,0
4,2,500,41,1,0
16,6,1500,40,1,0
14,3,750,26,1,0
9,2,500,26,1,0
21,16,4000,64,1,0
14,6,1500,51,1,0
11,2,500,24,1,0
4,3,750,71,1,0
21,13,3250,57,1,0
11,6,1500,71,1,0
14,2,500,21,2,0
23,15,3750,57,1,0
14,4,1000,38,1,0
11,2,500,26,1,0
16,5,1250,40,2,0
4,2,500,51,2,0
14,3,750,31,1,0
4,2,500,52,1,0
9,4,1000,65,1,0
14,4,1000,40,1,0
11,3,750,40,2,0
14,5,1250,50,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,7,1750,72,1,0
14,1,250,14,1,0
14,1,250,14,1,0
9,3,750,52,1,0
14,7,1750,73,1,0
11,4,1000,58,1,0
11,4,1000,59,1,0
4,2,500,59,1,0
11,4,1000,61,1,0
16,4,1000,40,1,0
16,10,2500,89,1,0
21,2,500,21,2,0
21,3,750,26,1,0
16,8,2000,76,1,0
21,3,750,26,2,0
18,2,500,23,1,0
23,5,1250,33,1,0
23,8,2000,46,1,0
16,3,750,34,1,0
14,5,1250,64,1,0
14,3,750,41,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,4,1000,45,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,2,500,26,1,0
21,2,500,23,1,0
16,2,500,27,1,0
21,2,500,23,1,0
21,2,500,23,1,0
14,4,1000,57,1,0
16,5,1250,60,1,0
23,2,500,23,1,0
14,5,1250,74,1,0
23,3,750,28,1,0
16,3,750,40,1,0
9,2,500,52,1,0
9,2,500,52,1,0
16,7,1750,87,2,0
14,4,1000,64,1,0
14,2,500,35,1,0
16,7,1750,93,1,0
21,2,500,25,1,0
14,3,750,52,1,0
23,14,3500,93,1,0
18,8,2000,95,1,0
16,3,750,46,1,0
11,3,750,76,1,0
11,2,500,52,1,0
11,3,750,76,1,0
23,12,3000,86,1,0
21,3,750,35,1,0
23,2,500,26,1,0
23,2,500,26,1,0
23,8,2000,64,1,0
16,3,750,50,1,0
23,3,750,33,1,0
21,3,750,38,1,0
23,2,500,28,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,1,0
21,1,250,21,2,0
21,1,250,21,1,0
21,1,250,21,1,0
21,5,1250,60,1,0
23,4,1000,45,1,0
21,4,1000,52,1,0
22,1,250,22,2,0
11,2,500,70,1,0
23,5,1250,58,1,0
23,3,750,40,1,0
23,3,750,41,1,0
14,3,750,83,1,0
21,2,500,35,1,0
26,5,1250,49,2,0
23,6,1500,70,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,4,1000,53,1,0
21,6,1500,86,1,0
23,3,750,48,1,0
21,2,500,41,1,0
21,3,750,64,1,0
16,2,500,70,1,0
21,3,750,70,1,0
23,4,1000,87,1,0
23,3,750,89,1,0
23,2,500,87,1,0
35,3,750,64,1,0
38,1,250,38,1,0
38,1,250,38,1,0
40,1,250,40,1,0
74,1,250,74,1,0
2,43,10750,86,2,0
6,22,5500,28,2,0
2,34,8500,77,2,0
2,44,11000,98,1,0
0,26,6500,76,2,0
2,41,10250,98,2,0
3,21,5250,42,2,0
2,11,2750,23,1,0
2,21,5250,52,2,0
2,13,3250,32,2,0
4,4,1000,4,2,0
2,11,2750,26,1,0
2,11,2750,28,1,0
3,14,3500,35,1,0
4,16,4000,38,2,0
4,6,1500,14,1,0
3,5,1250,12,2,0
4,33,8250,98,2,0
3,10,2500,33,2,0
4,10,2500,28,2,0
2,11,2750,40,2,0
2,11,2750,41,2,0
4,13,3250,39,2,0
1,10,2500,43,2,0
4,9,2250,28,1,0
2,4,1000,11,1,0
2,5,1250,16,2,0
2,15,3750,64,1,0
5,24,6000,79,1,0
2,6,1500,22,2,0
4,5,1250,16,2,0
2,4,1000,14,2,0
4,8,2000,28,1,0
2,4,1000,14,1,0
2,6,1500,26,1,0
4,5,1250,16,2,0
2,7,1750,32,2,0
2,6,1500,26,2,0
2,8,2000,38,2,0
2,2,500,4,2,0
2,6,1500,28,2,0
2,10,2500,52,1,0
4,16,4000,70,2,0
4,2,500,4,2,0
1,14,3500,95,1,0
4,2,500,4,2,0
7,14,3500,48,1,0
2,3,750,11,1,0
2,12,3000,70,2,0
4,7,1750,32,2,0
4,4,1000,16,1,0
2,6,1500,35,2,0
4,6,1500,28,2,0
2,3,750,14,1,0
2,4,1000,23,1,0
4,4,1000,18,1,0
5,6,1500,28,1,0
4,6,1500,30,1,0
14,5,1250,14,1,0
3,8,2000,50,1,0
4,11,2750,64,2,0
4,9,2250,52,1,0
4,16,4000,98,2,0
7,10,2500,47,1,0
4,14,3500,86,1,0
2,9,2250,75,1,0
4,6,1500,35,1,0
4,9,2250,55,1,0
4,6,1500,35,2,0
2,6,1500,45,1,0
2,6,1500,47,1,0
4,2,500,9,1,0
2,2,500,11,2,0
2,2,500,11,1,0
2,2,500,11,2,0
4,6,1500,38,2,0
3,4,1000,29,2,0
9,9,2250,38,1,0
11,5,1250,18,1,0
2,3,750,21,1,0
2,1,250,2,1,0
2,1,250,2,2,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,2,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
2,1,250,2,1,0
11,11,2750,38,1,0
2,3,750,22,1,0
9,11,2750,49,2,0
5,11,2750,75,1,0
3,5,1250,38,1,0
3,1,250,3,2,0
4,6,1500,43,1,0
2,3,750,24,1,0
12,11,2750,39,1,0
2,2,500,14,1,0
4,6,1500,46,1,0
9,3,750,14,1,0
14,8,2000,26,1,0
4,2,500,13,1,0
4,11,2750,95,1,0
2,7,1750,77,1,0
2,7,1750,77,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,2,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,1,0
4,1,250,4,2,0
4,1,250,4,1,0
4,7,1750,62,1,0
4,1,250,4,1,0
4,4,1000,34,2,0
11,6,1500,28,1,0
13,3,750,14,2,0
7,5,1250,35,1,0
9,9,2250,54,1,0
11,2,500,11,1,0
2,5,1250,63,1,0
7,11,2750,89,1,0
8,9,2250,64,1,0
2,2,500,22,1,0
6,3,750,26,1,0
12,15,3750,71,1,0
13,3,750,16,1,0
11,16,4000,89,1,0
4,5,1250,58,1,0
14,7,1750,35,1,0
11,4,1000,27,1,0
7,9,2250,89,2,0
11,8,2000,52,2,0
7,5,1250,52,1,0
11,6,1500,41,1,0
10,5,1250,38,1,0
14,2,500,14,2,0
14,2,500,14,1,0
14,2,500,14,1,0
2,2,500,33,1,0
11,3,750,23,1,0
14,8,2000,46,1,0
9,1,250,9,1,0
16,5,1250,27,1,0
14,4,1000,26,1,0
4,2,500,30,1,0
14,3,750,21,1,0
16,16,4000,77,1,0
4,2,500,31,1,0
14,8,2000,50,1,0
11,3,750,26,1,0
14,7,1750,45,1,0
15,5,1250,33,1,0
16,2,500,16,1,0
16,3,750,21,1,0
11,8,2000,72,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,1,0
11,1,250,11,2,0
11,1,250,11,1,0
2,3,750,75,2,0
2,3,750,77,1,0
16,4,1000,28,1,0
16,15,3750,87,1,0
16,14,3500,83,1,0
16,10,2500,62,1,0
16,3,750,23,1,0
14,3,750,26,1,0
23,19,4750,62,1,0
11,7,1750,75,1,0
14,3,750,28,1,0
20,14,3500,69,2,0
4,2,500,46,1,0
11,2,500,25,1,0
11,3,750,37,1,0
16,4,1000,33,1,0
21,7,1750,38,1,0
13,7,1750,76,1,0
16,6,1500,50,1,0
14,3,750,33,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
14,1,250,14,1,0
17,7,1750,58,2,0
14,3,750,35,1,0
14,3,750,35,1,0
16,7,1750,64,1,0
21,2,500,21,1,0
16,3,750,35,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
16,1,250,16,1,0
14,2,500,29,1,0
11,4,1000,74,1,0
11,2,500,38,2,0
21,6,1500,48,1,0
23,2,500,23,1,0
23,6,1500,45,1,0
14,2,500,35,2,0
16,6,1500,81,1,0
16,4,1000,58,1,0
16,5,1250,71,1,0
21,2,500,26,1,0
21,3,750,35,1,0
21,3,750,35,1,0
23,8,2000,69,1,0
21,3,750,38,1,0
23,3,750,35,1,0
21,3,750,40,1,0
23,2,500,28,1,0
21,1,250,21,1,0
21,1,250,21,1,0
25,6,1500,50,1,0
21,1,250,21,1,0
21,1,250,21,1,0
23,3,750,39,1,0
21,2,500,33,1,0
14,3,750,79,1,0
23,1,250,23,2,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,1,250,23,1,0
23,4,1000,52,1,0
23,1,250,23,1,0
23,7,1750,88,1,0
16,3,750,86,1,0
23,2,500,38,1,0
21,2,500,52,1,0
23,3,750,62,1,0
39,1,250,39,1,0
72,1,250,72,1,0
